"","Code","Reference","Country","Site","Latitude","Longitude","MAT..�.C...Origin.data.","MAP..mm...Origin.data.","Elevation..m.a.s.l..","Slope..Origin.data.","Vegetation.type..Origin.data.","Stand.age","Parent.material..origin.data.","Soil.type..Origin.data.","Soil.class","Soil.age..a.","Comment..Site.note.","Soil.hori","X.","P.inorg..mg.kg...Resin..origin.data.","P.inorg..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...First.two..BicPi.W.R.Pi...ori....","P.org..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...Hydroxide..origin.data.","P.org..mg.kg...Hydroxide..origin.data.","P..mg.kg...Apatite..origin.data.","P.inorg..mg.kg...Sonic..origin.data.","P.org..mg.kg...Sonic..origin.data.","P.inorg..mg.kg...Conc...HCl..origin.data.","P.org..mg.kg...Conc...HCl..origin.data.","P..mg.kg...Residue..origin.data.","P.org..mg.kg...Total..origin.data.","P..mg.kg...Sum.of.P.fraction..origin.data.","P..mg.kg...Total.P.measured.separat..ori....","Comment..Notes.about.P.fractions..orig....","pH","TOC....","TN....","Al..mg.kg...DCB.Al..origin.data.","Fe..mg.kg...DCB.Al..origin.data.","Al..mg.kg...Oxalate..origin.data.","Fe..mg.kg...Oxalate..origin.data.","DBD..g.cm..3.","Texture","Sand....","Silt....","X.2.µm...9.phi....","Method.comm","P..mg.kg...Microbial.biomass..origin.data.","Lat.2","Long.2","MAT..�.C...MAT2..site.mean.annual.tempat....","MAP..mm...MAP2..site.mean.annual.precip....","Aridity.index","Elev2..m.a.s.l..","Soil.type..Soil.type2..according.to.USDA....","Parent.material..Parent.material2.","Vegetation.type..Vegetation.type2..grouped.int....","Slope..Slope2..slope.expressed.in.pe....","Depth.soil..m.","Comment","Code..Soil.depth.code..0..organic.l....","P..mg.kg...Total.P2..total..sum.of.P.fra....","P.inorg..mg.kg...Available..sum.of.HCO3Pi.and.....","P.org..mg.kg...Sum.of.HCO3.Po.and.OH.Po.","P.inorg..mg.kg...Primary.P..HCI.Pi.","P.inorg..mg.kg...Secondary.P..OH.Pi.","P..mg.kg...Occluded.P..TP.sum.resin.P..b...."
"1",1,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","0-16 cm","",7.9,7.2,NA,6.5,47.5,57.8,40.2,NA,NA,NA,NA,224.3,NA,391.4,NA,"",6,0.8,NA,1000,13800,NA,20,1.5,"",66.6,18.2,15.2,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,391.4,15.1,64.3,40.2,47.5,224.3
"2",2,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","16-39 cm","",1.8,3.6,NA,4.1,30.7,41.9,29.3,NA,NA,NA,NA,202.5,NA,313.9,NA,"",6,0.3,NA,1000,13600,NA,140,1.5,"",65.8,15.9,18.3,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,313.9,5.4,46,29.3,30.7,202.5
"3",3,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","39-82 cm","",1.4,2.5,NA,4.3,32,23.6,24.4,NA,NA,NA,NA,207.4,NA,295.4,NA,"",5.7,0.2,NA,1100,15600,NA,30,1.5,"",62.2,13.9,23.9,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,60.5,"",3,295.4,3.9,27.9,24.4,32,207.2
"4",4,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","82-162 cm","",1.7,2.8,NA,1.6,28.8,2.4,17,NA,NA,NA,NA,220.8,NA,275,NA,"",5.7,0.1,NA,1000,15100,NA,50,1.6,"",60.1,22.1,17.8,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,122,"",3,275,4.5,4,17,28.8,220.7
"5",5,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","0-16 cm","",10.3,7.7,NA,5.5,37.1,60.4,32.1,NA,NA,NA,NA,109,NA,262.1,NA,"",5.9,0.9,NA,1000,10400,NA,30,1.5,"",58.6,19.9,21.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,262.1,18,65.9,32.1,37.1,109
"6",6,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","16-39 cm","",1.6,2.1,NA,5.2,19.2,52.5,19.2,NA,NA,NA,NA,108.5,NA,206.5,NA,"",5.7,0.3,NA,800,8200,NA,80,1.5,"",65.2,12.3,22.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,206.5,3.7,57.7,19.2,19.2,106.7
"7",7,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","39-82 cm","",1.6,4.4,NA,3.5,24.9,37.2,24.9,NA,NA,NA,NA,128.3,NA,223.6,NA,"",5.3,0.3,NA,1200,11700,NA,70,1.5,"",56.9,16.9,26.2,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,60.5,"",3,223.6,6,40.7,24.9,24.9,127.1
"8",8,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","82-162 cm","",1.6,3.4,NA,1.9,26,16.7,26,NA,NA,NA,NA,150.1,NA,219.4,NA,"",5.2,0.2,NA,1200,13600,NA,60,1.5,"",54.4,16.1,29.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,122,"",3,219.4,5,18.6,26,26,143.8
"9",9,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","0-16 cm","",6.9,7.9,NA,5.9,45.2,77.8,32.1,NA,NA,NA,NA,128.1,NA,303.8,NA,"",6,1,NA,1000,11000,NA,40,1.5,"",64.6,15.9,19.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,303.8,14.8,83.7,32.1,45.2,128
"10",10,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","16-39 cm","",1.9,3.8,NA,6.4,32.4,70.4,27.6,NA,NA,NA,NA,141.5,NA,283.8,NA,"",5.8,0.5,NA,1000,10100,NA,100,1.5,"",59.5,11.7,28.8,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,283.8,5.7,76.8,27.6,32.4,141.3
"11",11,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","39-82 cm","",1.6,4.5,NA,4.1,34.6,36.7,26,NA,NA,NA,NA,161.1,NA,268.7,NA,"",5.9,0.3,NA,1200,11500,NA,70,1.5,"",53.8,13.3,32.9,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,60.5,"",3,268.7,6.1,40.8,26,34.6,161.2
"12",12,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","82-162 cm","",1.7,4,NA,2.7,28.9,13,18,NA,NA,NA,NA,169.1,NA,237.3,NA,"",5.3,0.2,NA,1000,12300,NA,40,1.5,"",52.8,13.4,33.8,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,122,"",3,237.3,5.7,15.7,18,28.9,169
"13",13,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Upslope","0-8 cm","",14.3,10.8,NA,9.2,38.2,69.8,58.5,NA,NA,NA,NA,145.7,NA,346.5,NA,"",6.4,1.4,NA,700,11800,NA,80,1.4,"",59.9,30.4,9.7,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,4,"",1,346.5,25.1,79,58.5,38.2,145.7
"14",14,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Upslope","8-39 cm","",2.2,4,NA,7.2,14,31.7,24.8,NA,NA,NA,NA,144.6,NA,228.3,NA,"",6.8,0.5,NA,700,12100,NA,20,1.3,"",49.1,31.3,19.6,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,23.5,"",3,228.3,6.2,38.9,24.8,14,144.4
"15",15,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Upslope","39-55 cm","",1.5,5,NA,3.5,8.2,15,21.6,NA,NA,NA,NA,126.6,NA,181.3,NA,"",6.7,0.3,NA,800,12300,NA,10,1.3,"",52.1,29.9,18,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,47,"",3,181.3,6.5,18.5,21.6,8.2,126.5
"16",16,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Midslope","0-8 cm","",16.7,10.9,NA,10.5,35.6,60,68.9,NA,NA,NA,NA,129.6,NA,332.3,NA,"",6.4,1.6,NA,800,12800,NA,0,1.3,"",56,31,13,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,4,"",1,332.3,27.6,70.5,68.9,35.6,129.7
"17",17,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Midslope","8-39 cm","",1.2,4.9,NA,5.5,16.6,40,18.3,NA,NA,NA,NA,134.2,NA,220.8,NA,"",6.8,0.5,NA,900,14300,NA,30,1.2,"",51.9,25.4,22.7,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,23.5,"",3,220.8,6.1,45.5,18.3,16.6,134.3
"18",18,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Midslope","39-55 cm","",1,3.1,NA,4,11.2,16.3,31.8,NA,NA,NA,NA,173.3,NA,240.8,NA,"",6.4,0.3,NA,700,11400,NA,60,1.3,"",64,22.3,13.7,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,47,"",3,240.8,4.1,20.3,31.8,11.2,173.4
"19",19,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Downslope","0-8 cm","",14.5,10,NA,12.8,37.8,82.6,80.3,NA,NA,NA,NA,147.4,NA,385.3,NA,"",6.4,2.5,NA,500,12600,NA,10,1.3,"",62,26.6,11.4,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,4,"",1,385.3,24.5,95.4,80.3,37.8,147.3
"20",20,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Downslope","8-39 cm","",1.7,3.5,NA,7.8,16.4,46.8,40,NA,NA,NA,NA,139,NA,255.2,NA,"",6.5,0.8,NA,900,13800,NA,0,1.3,"",56.4,24.3,19.3,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,23.5,"",3,255.2,5.2,54.6,40,16.4,139
"21",21,"Araujo et al., 2004","Brazil","Parnamirim",-8.08,-39.58,26,580,NA,NA,"Caatinga","Native","Biotite, gneiss","Alfisol","USDA system",NA,"Downslope","39-55 cm","",2.1,3.6,NA,5.5,13.1,22.3,64.1,NA,NA,NA,NA,128.1,NA,238.7,NA,"",6.2,0.4,NA,700,10700,NA,0,1.4,"",67.1,22.6,10.3,"Pipette method",NA,-8.08,-39.58,26,580,0.34,403,"Alfisols","Shield rocks","Shrub",NA,47,"",3,238.7,5.7,27.8,64.1,13.1,128
"22",22,"Beck and Elsenbeer, 1999","Swiss","",46.18,8.65,8,2200,900,50,"Mixture of grass and forest","","Colluvium,biotite gneiss","Spodosol","USDA system",NA,"","0-15 cm","",12,15,NA,48,38,149,11,NA,NA,NA,NA,161,NA,NA,435,"",3.94,13.3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,46.18,8.65,8,2200,2.07,900,"Spodosols","Shield rocks","Grass and/or others",26.57,7.5,"",1,434,27,197,11,38,161
"23",23,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","5-10 cm","",89,17,NA,24,115,329,16,2.2,5.8,NA,NA,132,NA,721,NA,"",4.6,17.5,0.76,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,7.5,"",1,721,106,353,16,115,131
"24",24,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","10-15 cm","",78,16,NA,20,70,574,18,NA,NA,NA,NA,318,NA,1094,NA,"",4.5,11.3,0.54,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,12.5,"",2,1094,94,594,18,70,318
"25",25,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","15-20 cm","",54,12,NA,33,59,529,11,NA,NA,NA,NA,240,NA,938,NA,"",4.5,13.9,0.71,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,17.5,"",2,938,66,562,11,59,240
"26",26,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","20-25 cm","",52,11,NA,43,73,665,10,NA,NA,NA,NA,262,NA,1117,NA,"",4.7,12.8,0.7,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,22.5,"",3,1117,63,708,10,73,263
"27",27,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","25-30 cm","",29,9,NA,31,63,647,9,NA,NA,NA,NA,259,NA,1047,NA,"",4.7,12.1,0.57,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,27.5,"",3,1047,38,678,9,63,259
"28",28,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","30-35 cm","",13,7,NA,28,62,470,15,NA,NA,NA,NA,218,NA,813,NA,"",4.8,8.3,0.41,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,32.5,"",3,813,20,498,15,62,218
"29",29,"Cassagne et al., 2000","France","",42.6322,0.6578,-0.14,850,2390,NA,"Grass or dwarf shrubs","Native","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil1","35-40 cm","",9,7,NA,35,68,504,16,NA,NA,NA,NA,200,NA,839,NA,"",4.9,8.3,0.41,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,-0.14,850,3.92,2390,"Inceptisols","Shield rocks","Grass and/or others",NA,37.5,"",3,839,16,539,16,68,200
"30",30,"Cassagne et al., 2000","France","",42.6322,0.6578,0.16,850,2340,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil2","2-5 cm","",56,14,NA,130,26,356,32,NA,NA,NA,NA,83,NA,697,NA,"",4.5,22.7,1.27,NA,NA,3618,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.16,850,3.92,2340,"Inceptisols","Shield rocks","Grass and/or others",NA,3.5,"",1,697,70,486,32,26,83
"31",31,"Cassagne et al., 2000","France","",42.6322,0.6578,0.16,850,2340,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil2","5-10 cm","",46,11,NA,133,26,426,23,NA,NA,NA,NA,61,NA,726,NA,"",4.4,17.3,1.8,NA,NA,5355,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.16,850,3.92,2340,"Inceptisols","Shield rocks","Grass and/or others",NA,7.5,"",1,726,57,559,23,26,61
"32",32,"Cassagne et al., 2000","France","",42.6322,0.6578,0.16,850,2340,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil2","10-15 cm","",26,9,NA,114,29,415,21,NA,NA,NA,NA,117,NA,731,NA,"",4.5,13.1,0.76,NA,NA,8613,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.16,850,3.92,2340,"Inceptisols","Shield rocks","Grass and/or others",NA,12.5,"",2,731,35,529,21,29,117
"33",33,"Cassagne et al., 2000","France","",42.6322,0.6578,0.16,850,2340,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Inceptisol","USDA system",NA,"Soil2","15-20 cm","",9,7,NA,86,19,491,14,NA,NA,NA,NA,125,NA,751,NA,"",4.7,11.7,0.55,NA,NA,8613,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.16,850,3.92,2340,"Inceptisols","Shield rocks","Grass and/or others",NA,17.5,"",2,751,16,577,14,19,125
"34",34,"Cassagne et al., 2000","France","",42.6322,0.6578,0.1,850,2350,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil3","0-7 cm","",21,11,NA,51,79,125,25,NA,NA,NA,NA,222,NA,533,NA,"",4.9,9.1,0.41,NA,NA,3510,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.1,850,3.92,2350,"Spodosols","Shield rocks","Grass and/or others",NA,3.5,"",1,533,32,176,25,79,221
"35",35,"Cassagne et al., 2000","France","",42.6322,0.6578,0.1,850,2350,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil3","7-12 cm","",13,8,NA,46,93,72,25,NA,NA,NA,NA,197,NA,453,NA,"",5,6.5,0.27,NA,NA,4446,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.1,850,3.92,2350,"Spodosols","Shield rocks","Grass and/or others",NA,9.5,"",1,453,21,118,25,93,196
"36",36,"Cassagne et al., 2000","France","",42.6322,0.6578,0.1,850,2350,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil3","12-32 cm","",8,9,NA,49,124,168,24,NA,NA,NA,NA,321,NA,702,NA,"",5.1,7,0.31,NA,NA,14040,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.1,850,3.92,2350,"Spodosols","Shield rocks","Grass and/or others",NA,22,"",3,702,17,217,24,124,320
"37",37,"Cassagne et al., 2000","France","",42.6322,0.6578,0.1,850,2350,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil3","32-52 cm","",8,24,NA,54,186,290,104,NA,NA,NA,NA,290,NA,955,NA,"",5,9.6,0.51,NA,NA,25920,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.1,850,3.92,2350,"Spodosols","Shield rocks","Grass and/or others",NA,42,"",3,955,32,344,104,186,289
"38",38,"Cassagne et al., 2000","France","",42.6322,0.6578,0.88,850,2220,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil4","0-5 cm","",39,38,NA,2,29,111,39,NA,NA,NA,NA,65,NA,343,NA,"",4.7,12.4,0.54,NA,NA,2529,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.88,850,3.92,2220,"Spodosols","Shield rocks","Grass and/or others",NA,2.5,"",1,343,77,113,39,29,85
"39",39,"Cassagne et al., 2000","France","",42.6322,0.6578,0.88,850,2220,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil4","5-25 cm","",17,27,NA,39,8,230,29,NA,NA,NA,NA,94,NA,444,NA,"",5,9,0.54,NA,NA,11835,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.88,850,3.92,2220,"Spodosols","Shield rocks","Grass and/or others",NA,15,"",2,444,44,269,29,8,94
"40",40,"Cassagne et al., 2000","France","",42.6322,0.6578,0.88,850,2220,NA,"Grass or dwarf shrubs","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil4","25-34 cm","",10,12,NA,43,10,185,34,NA,NA,NA,NA,86,NA,380,NA,"",5.1,6,0.34,NA,NA,12033,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,0.88,850,3.92,2220,"Spodosols","Shield rocks","Grass and/or others",NA,29.5,"",3,380,22,228,34,10,86
"41",41,"Cassagne et al., 2000","France","",42.6322,0.6578,1.18,850,2170,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil5","0-7 cm","",6,10,NA,27,94,118,90,NA,NA,NA,NA,25,NA,370,NA,"",5,6.5,0.24,NA,NA,13104,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,1.18,850,3.92,2170,"Spodosols","Shield rocks","Forest",NA,3.5,"",1,370,16,145,90,94,25
"42",42,"Cassagne et al., 2000","France","",42.6322,0.6578,1.18,850,2170,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil5","7-17 cm","",3,7,NA,27,77,210,99,NA,NA,NA,NA,24,NA,448,NA,"",5.3,4.6,0.2,NA,NA,22059,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,1.18,850,3.92,2170,"Spodosols","Shield rocks","Forest",NA,12,"",2,448,10,237,99,77,25
"43",43,"Cassagne et al., 2000","France","",42.6322,0.6578,1.18,850,2170,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil5","17-27 cm","",4,5,NA,45,32,299,186,NA,NA,NA,NA,102,NA,671,NA,"",5.2,7.2,0.27,NA,NA,25668,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,1.18,850,3.92,2170,"Spodosols","Shield rocks","Forest",NA,22,"",3,671,9,344,186,32,100
"44",44,"Cassagne et al., 2000","France","",42.6322,0.6578,2.14,850,2010,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil6","0-7 cm","",12,11,NA,43,21,60,21,NA,NA,NA,NA,81,NA,250,NA,"",4.8,5.8,0.26,NA,NA,2934,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,2.14,850,3.92,2010,"Spodosols","Shield rocks","Forest",NA,3.5,"",1,250,23,103,21,21,82
"45",45,"Cassagne et al., 2000","France","",42.6322,0.6578,2.14,850,2010,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil6","7-13 cm","",8,8,NA,41,21,55,19,NA,NA,NA,NA,90,NA,241,NA,"",5,4.8,0.23,NA,NA,3348,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,2.14,850,3.92,2010,"Spodosols","Shield rocks","Forest",NA,10,"",1,241,16,96,19,21,89
"46",46,"Cassagne et al., 2000","France","",42.6322,0.6578,2.14,850,2010,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil6","13-20 cm","",4,6,NA,30,23,47,22,NA,NA,NA,NA,84,NA,216,NA,"",5.1,3.2,0.14,NA,NA,3753,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,2.14,850,3.92,2010,"Spodosols","Shield rocks","Forest",NA,16.5,"",2,216,10,77,22,23,84
"47",47,"Cassagne et al., 2000","France","",42.6322,0.6578,2.14,850,2010,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil6","20-35 cm","",3,8,NA,32,39,79,25,NA,NA,NA,NA,114,NA,300,NA,"",5.3,3.5,0.17,NA,NA,9333,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,2.14,850,3.92,2010,"Spodosols","Shield rocks","Forest",NA,27.5,"",3,300,11,111,25,39,114
"48",48,"Cassagne et al., 2000","France","",42.6322,0.6578,2.14,850,2010,NA,"Forest","","Granite and metamorphic rock","Spodosol","USDA system",NA,"Soil6","35-45 cm","",15,6,NA,40,68,115,158,NA,NA,NA,NA,110,NA,502,NA,"",5.3,6.4,0.33,NA,NA,17370,NA,NA,"",NA,NA,NA,"",NA,42.63222,0.65778,2.14,850,3.92,2010,"Spodosols","Shield rocks","Forest",NA,40,"",3,502,21,155,158,68,100
"49",49,"Cross and Schlesinger, 2001","U.S.","",34.353,-106.882,NA,220,NA,NA,"Grass","","Metasedimentary rock","Aridisol","USDA system",NA,"Grass under","0-10 cm","",11.4,3.5,NA,1.4,10.9,4.4,83,NA,NA,32.5,20.3,26,26.1,NA,194,"",7.5,NA,NA,NA,NA,NA,NA,NA,"",83.28,8.05,8.68,"Unclear",NA,34.353,-106.882,12.98,220,0.14,1505,"Aridisols","Carbonate rocks","Grass",NA,5,"",1,193.4,14.87,5.81,82.99,10.9,78.8
